id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
1968,Diaw,Boris,SAS,PF,WAS,17.00,5.43,0.27,3.36,2.16,0.27,0.20,1.29,2.07,0.48,0.15,2.34,2.39,0.00,0.00,3500,10,3500,5450,0,52100,0,5900,3500,PF,C,PF,PF;C,,C,,C,F
3129,Johnson,Wesley,LAC,SF,MIL,20.00,5.98,0.80,2.17,1.17,0.89,0.48,0.69,1.37,0.86,0.23,2.16,3.28,0.00,0.00,4000,10,3200,5450,0,56600,0,5400,3500,SF,SG,SF,SG;SF,,,,F,F
2579,Bargnani,Andrea,BKN,C,MIA,18.00,7.59,0.29,2.74,0.69,0.16,0.42,0.82,2.77,1.16,0.21,3.07,3.69,0.00,0.00,3700,10,3300,5700,0,41300,0,5400,3300,C,C,C,PF;C,,C,,F,C
3713,Roberson,Andre,OKC,SG,POR,23.00,3.92,0.37,3.51,0.94,0.90,0.62,0.34,1.22,0.38,0.39,1.58,1.76,0.00,0.00,3500,10,3300,5000,0,43000,0,5100,3800,SG,SG,SG,SG;SF,,,,G,G
2284,Allen,Tony,MEM,SG,@ CHI,17.00,5.00,0.11,2.78,0.92,1.40,0.15,0.63,2.00,0.67,0.39,2.11,2.72,0.00,0.00,3500,10,3400,5750,0,39400,0,5600,3600,SG,SG,SF,SG;SF,,,,G,G
2430,Frye,Channing,ORL,PF,CHA,18.00,4.97,1.06,3.52,0.84,0.46,0.41,0.82,0.72,0.34,0.05,1.78,3.56,0.00,0.00,3700,10,3400,5000,0,35000,0,4700,3500,PF,PF,PF,PF;C,,,,F,F
2850,Mbah a Moute,Luc,LAC,SF,MIL,17.00,5.70,0.54,2.77,0.93,0.80,0.24,0.84,1.53,1.03,0.67,2.07,3.21,0.00,0.00,3500,10,3100,5000,0,35000,0,3000,3000,SF,SF,SF,SF;PF,,,,F,F
3013,Henderson,Gerald,POR,SG,@ OKC,16.00,7.60,0.34,1.81,1.41,0.26,0.09,0.74,2.45,1.69,0.38,2.79,4.32,0.00,0.00,3600,10,3200,6250,0,39900,0,5000,3700,SG,SG,SG,SG;SF,,,,G,G
3955,Vonleh,Noah,POR,PF,@ OKC,17.00,4.78,0.26,4.19,0.53,0.27,0.56,0.59,1.43,1.14,0.49,1.69,2.86,0.00,0.00,3600,10,3100,5000,0,37700,0,4100,3300,PF,PF,PF,PF,,,,F,F
2332,Smith,Josh,LAC,PF,MIL,12.00,4.60,0.55,2.88,1.23,0.37,0.91,1.22,1.13,0.70,0.62,1.68,2.49,0.00,0.00,3800,10,3700,6750,0,56100,0,6800,3750,PF,PF,PF,SF;PF,,,,F,F
3669,Baynes,Aron,DET,C,BOS,14.00,5.21,0.00,4.31,0.73,0.18,0.32,0.95,2.10,1.01,0.16,2.10,2.35,0.00,0.00,3600,10,3100,5650,0,48300,0,5400,3500,C,C,C,C,,,,C,F
2858,Rush,Brandon,GSW,SG,PHO,18.00,5.24,0.98,2.73,1.04,0.35,0.62,0.87,0.93,0.44,0.15,1.91,2.13,0.00,0.00,3500,10,3500,5000,0,41100,0,4300,3000,SG,SF,SG,SG,,,,G,G
3413,Thomas,Lance,NYK,SF,MIN,24.00,6.61,0.50,2.91,0.66,0.41,0.15,0.86,1.92,1.25,0.38,2.43,3.58,0.00,0.00,3600,10,3400,5100,0,50800,0,5100,3500,SF,SF,SF,SG;SF,,,,G,F
2774,Tolliver,Anthony,DET,PF,BOS,18.00,5.64,1.23,2.81,0.76,0.39,0.27,0.38,0.67,0.61,0.14,1.90,2.93,0.00,0.00,3500,10,3200,5000,0,44400,0,5000,3300,PF,PF,PF,SF;PF,,,,F,F
2578,Barea,JJ,DAL,PG,@ IND,14.00,5.30,0.59,1.49,2.88,0.26,0.04,1.06,1.40,0.74,0.17,1.99,2.99,0.00,0.00,3600,10,3400,7350,0,58500,0,6100,3700,PG,SG,PG,PG;SG,,,,G,G
3358,Cole,Norris,NOR,PG,@ UTA,17.00,5.97,0.67,1.31,1.96,0.55,0.14,0.86,1.71,0.53,0.18,2.38,3.64,0.00,0.00,3600,10,3300,5650,0,48600,0,5900,3000,PG,SG,PG,PG;SG,,,,G,G
3334,Splitter,Tiago,ATL,C,PHI,12.00,4.74,0.00,3.34,1.04,0.41,0.42,0.66,1.84,1.06,0.37,1.84,1.41,0.00,0.00,3500,10,3000,6200,0,41000,0,5400,3800,C,C,C,C,,,,C,F
3276,Sloan,Donald,BKN,PG,MIA,18.00,5.25,0.52,1.46,2.82,0.37,0.01,1.04,1.46,0.78,0.23,1.98,2.89,0.00,0.00,3500,10,3000,5000,0,35000,0,3000,3500,PG,SG,PG,PG;SG,,,,G,G
3127,Bjelica,Nemanja,MIN,SF,@ NYK,16.00,4.48,0.61,3.48,1.31,0.30,0.16,0.61,0.84,0.97,0.35,1.45,1.74,0.00,0.00,3500,10,3500,6350,0,48300,0,6400,3800,SF,PF,PF,PF,,,,F,F
3076,Temple,Garrett,WAS,PG,@ SAS,19.00,5.00,0.56,2.11,1.40,0.89,0.09,1.02,1.30,0.73,0.30,1.86,2.80,0.00,0.00,3500,10,3700,5000,0,38400,0,5000,3700,PG,SG,SG,PG;SG,,,,G,G
5021,Holmes,Richaun,PHI,PF,@ ATL,14.00,3.96,0.25,3.63,0.55,0.34,0.80,0.59,1.27,0.68,0.27,1.52,1.86,0.00,0.00,3500,10,3100,5000,0,35400,0,4700,3500,PF,PF,PF,PF,,,,F,F
3812,Marjanovic,Boban,SAS,C,WAS,15.00,4.57,0.00,4.47,0.50,0.10,0.31,0.68,1.93,0.71,0.20,1.93,1.49,0.00,0.00,3600,10,3000,5000,0,35000,0,3400,3000,C,C,C,C,,C,,C,C
3706,Muhammad,Shabazz,MIN,SF,@ NYK,14.00,7.36,0.33,2.29,0.42,0.15,0.07,0.49,2.33,1.71,0.65,2.66,3.32,0.00,0.00,3600,10,3600,6050,0,49700,0,5300,3800,SF,SF,SF,SG;SF,,,,F,F
2755,Smith,Jason,ORL,PF,CHA,15.00,4.75,0.08,2.94,1.11,0.32,0.43,0.84,1.83,0.85,0.19,1.91,2.71,0.00,0.00,3500,10,3200,5000,0,39700,0,4400,3300,PF,PF,PF,PF;C,,,,F,C
3922,Hairston,PJ,CHA,SF,@ ORL,18.00,5.50,1.19,2.13,0.72,0.59,0.18,0.51,0.63,0.67,0.10,1.82,3.66,0.00,0.00,3500,10,3100,6900,0,35000,0,3600,3500,SF,SF,SF,SG;SF,,,,G,G
3730,Neto,Raul,UTA,PG,NOR,16.00,4.81,0.38,1.31,2.62,0.56,0.03,1.27,1.42,0.83,0.41,1.80,2.37,0.00,0.00,3500,10,3200,5000,0,38200,0,4600,3500,PG,PG,PG,PG,,,,G,G
3406,Williams,Derrick,NYK,PF,MIN,14.00,7.14,0.41,1.99,0.35,0.36,0.11,0.46,1.82,2.29,0.91,2.22,3.01,0.00,0.00,3600,10,3100,5350,0,42600,0,4700,3700,PF,PF,SF,SF;PF,,,,F,F
3248,Millsap,Elijah,UTA,SF,NOR,16.00,3.57,0.40,2.62,1.10,1.02,0.25,0.89,0.74,0.89,0.43,1.14,2.18,0.00,0.00,3500,10,3000,5000,0,35000,0,3700,3600,SF,SG,SG,SG;SF,,,,G,F
3057,Ellington,Wayne,BKN,SG,MIA,16.00,5.70,0.76,1.63,1.12,0.53,0.05,0.35,1.51,0.40,0.07,2.27,3.08,0.00,0.00,3500,10,3100,5000,0,35000,0,3200,3000,SG,SG,SG,SG,,,,G,G
5002,Booker,Devin,PHO,SG,@ GSW,16.00,6.86,0.95,1.26,0.79,0.30,0.15,0.55,1.61,0.79,0.22,2.56,3.77,0.00,0.00,3500,10,3200,0,0,0,0,0,0,SG,SG,SG,,,,,,
3575,Rivers,Austin,LAC,PG,MIL,17.00,5.32,0.53,1.38,1.44,0.69,0.09,0.70,1.38,0.96,0.54,1.91,3.05,0.00,0.00,3500,10,3600,5000,0,44100,0,4800,3800,PG,PG,SG,PG;SG,,,,G,G
5018,Hezonja,Mario,ORL,SF,CHA,17.00,5.94,1.14,1.96,0.81,0.47,0.05,1.35,1.09,0.35,0.17,2.23,3.87,0.00,0.00,3500,10,3000,5000,0,35000,0,3000,3000,SF,SG,SG,SG,,,,G,G
1874,Garnett,Kevin,MIN,PF,@ NYK,13.00,3.14,0.00,3.79,0.98,0.41,0.24,0.49,1.37,0.40,0.12,1.37,1.63,0.00,0.00,3500,10,3100,5850,0,47400,0,6100,3800,PF,PF,PF,PF;C,,,,F,F
2862,Speights,Marreese,GSW,PF,PHO,9.00,6.06,0.04,2.34,0.62,0.11,0.27,0.70,2.34,1.25,0.22,2.38,2.64,0.00,0.00,3500,10,3100,5000,0,35000,0,3400,3000,PF,PF,C,PF;C,,C,,F,F
3940,O'Bryant,Johnny,MIL,C,@ LAC,20.00,4.70,0.00,3.43,0.78,0.21,0.07,0.76,1.89,0.91,0.61,1.89,3.53,0.00,0.00,3500,10,3100,0,0,35000,0,3200,3000,C,PF,PF,,,C,,F,F
5093,Simmons,Jonathon,SAS,SG,WAS,17.00,4.44,0.18,2.20,1.78,0.86,0.05,2.94,1.16,1.58,0.45,1.34,2.21,0.00,0.00,3700,10,3200,5050,0,47200,0,5800,3000,SG,SF,SF,SF,,,,F,G
2297,Collison,Nick,OKC,PF,POR,14.00,3.08,0.12,3.14,1.30,0.47,0.36,0.72,1.08,0.56,0.21,1.20,1.44,0.00,0.00,3500,10,3000,5000,0,35000,0,3300,3350,PF,PF,C,PF;C,,,,F,F
3490,Green,JaMychal,MEM,PF,@ CHI,12.00,4.64,0.00,3.46,0.30,0.34,0.29,0.84,1.91,0.81,0.34,1.91,2.01,0.00,0.00,3500,10,3300,5000,0,43800,0,5200,3500,PF,PF,PF,PF,,,,F,F
5098,McConnell,TJ,PHI,PG,@ ATL,13.00,2.28,0.19,2.12,2.90,0.52,0.08,1.18,0.72,0.27,0.10,0.91,1.48,0.00,0.00,4800,18,4500,8000,0,76600,0,9700,4200,PG,PG,PG,PG,,,,G,G
