id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3581,Ross,Terrence,TOR,SG,@ PHI,23.00,8.97,1.73,2.35,0.96,0.78,0.34,0.76,1.67,0.44,0.06,3.40,4.36,0.00,0.00,3700,10,3800,6150,0,49600,0,5500,3700,SG,SG,SG,SG;SF,,,,G,F
3993,Johnson,Tyler,MIA,PG,@ UTA,24.00,7.89,0.84,2.69,1.64,0.97,0.30,1.23,1.88,1.59,0.53,2.73,3.25,0.00,0.00,4000,10,3700,5800,0,62000,0,7100,3700,PG,PG,SG,PG;SG,,,,G,G
2636,Sefolosha,Thabo,ATL,SF,CHI,22.00,6.48,0.59,3.88,1.28,1.01,0.42,0.72,2.04,0.64,0.31,2.63,3.12,0.00,0.00,4200,14,4100,6900,0,57900,0,7700,4000,SF,SF,SF,SG;SF,,,,F,G
3766,Covington,Robert,PHI,SF,TOR,17.00,7.37,1.44,3.35,1.05,0.92,0.41,1.38,1.01,1.05,0.28,2.44,3.81,0.01,0.00,4300,19,4500,8950,0,57800,0,8000,4100,SF,PF,SF,SF;PF,,,,F,F
2752,Sessions,Ramon,WAS,PG,@ ORL,19.00,8.06,0.45,2.42,2.66,0.56,0.06,1.43,2.06,2.59,0.71,2.51,3.45,0.00,0.00,4300,10,4100,7350,0,69400,0,7500,3850,PG,PG,PG,PG;SG,,,,G,G
3575,Rivers,Austin,LAC,PG,CHA,22.00,9.03,0.80,2.13,1.66,0.59,0.18,0.90,2.89,0.84,0.45,3.70,5.39,0.00,0.00,4000,10,3500,6400,0,57300,0,5900,3800,PG,PG,SG,PG;SG,,,,G,G
2705,Belinelli,Marco,SAC,SG,GSW,24.00,9.56,1.24,1.83,1.86,0.44,0.03,1.29,2.08,1.68,0.29,3.32,5.20,0.00,0.00,4300,10,4800,8550,0,71000,0,7200,3700,SG,SG,SG,SG;SF,,,,G,G
3669,Baynes,Aron,DET,C,BKN,16.00,6.59,0.00,5.26,0.85,0.27,0.55,1.18,2.66,1.27,0.30,2.66,2.59,0.01,0.00,3800,10,3100,5550,0,46800,0,5300,3500,C,C,C,C,,C,,C,F
2862,Speights,Marreese,GSW,PF,@ SAC,14.00,8.57,0.11,3.90,0.85,0.32,0.27,1.47,3.21,1.83,0.35,3.32,4.15,0.01,0.00,3800,10,3400,5550,0,50100,0,4700,3000,PF,PF,C,PF;C,,C,,F,F
3353,Biyombo,Bismack,TOR,C,@ PHI,17.00,4.01,0.00,6.01,0.25,0.23,1.54,0.62,1.31,1.39,0.76,1.31,1.15,0.00,0.00,4500,16,4200,6750,0,65300,0,8100,3950,C,C,C,C,,C,,C,C
3659,Thompson,Hollis,PHI,SF,TOR,22.00,8.15,1.64,2.70,1.07,0.44,0.30,0.97,1.29,0.65,0.24,2.93,4.01,0.00,0.00,3500,10,3600,7200,0,52500,0,6100,3600,SF,SG,SG,SG;SF,,,,G,G
3057,Ellington,Wayne,BKN,SG,@ DET,22.00,8.14,1.12,2.94,0.95,0.59,0.04,0.58,1.95,0.87,0.20,3.07,4.67,0.00,0.00,3700,10,3500,5250,0,48000,0,4300,3900,SG,SG,SG,SG,,,,G,G
3589,Scott,Mike,ATL,SF,CHI,17.00,8.04,0.72,2.94,1.24,0.31,0.10,0.57,2.46,0.97,0.27,3.18,3.85,0.00,0.00,3600,10,3300,5000,0,38700,0,4600,3600,SF,PF,PF,PF,,,,F,F
3163,Booker,Trevor,UTA,PF,MIA,19.00,4.80,0.15,5.09,0.84,0.69,0.44,0.76,1.78,0.79,0.47,1.93,2.31,0.00,0.00,4300,16,4700,7100,0,57200,0,7500,3900,PF,PF,PF,PF,,,,F,F
3141,Aldrich,Cole,LAC,C,CHA,11.00,4.75,0.00,4.27,1.00,0.59,0.83,0.88,2.00,0.75,0.23,2.00,2.06,0.00,0.00,3800,10,3400,5900,0,51600,0,5500,3900,C,C,C,C,,C,,C,C
5029,Lyles,Trey,UTA,PF,MIA,22.00,4.91,0.25,4.86,0.96,0.40,0.34,0.67,1.80,0.56,0.19,2.05,2.80,0.00,0.00,3700,10,3700,5000,0,40200,0,4700,3000,PF,PF,PF,PF,,,,F,F
3537,Lamb,Jeremy,CHA,SG,@ LAC,15.00,7.01,0.54,2.99,0.95,0.38,0.21,0.58,2.16,1.07,0.30,2.70,3.50,0.00,0.00,4200,16,4500,7050,0,70100,0,7800,3900,SG,SF,SG,SG;SF,,,,G,G
2850,Mbah a Moute,Luc,LAC,SF,CHA,23.00,5.29,0.58,3.99,0.75,0.62,0.35,0.70,1.49,0.56,0.35,2.08,3.19,0.00,0.00,3500,10,3100,5000,0,35000,0,3000,3000,SF,PF,PF,SF;PF,,,,F,F
2313,Livingston,Shaun,GSW,PG,@ SAC,19.00,5.40,0.03,2.12,2.76,0.54,0.21,0.94,2.39,0.52,0.12,2.42,2.50,0.00,0.00,3600,10,4500,6250,0,53000,0,5800,3500,PG,PG,PG,PG;SG,,,,G,G
3334,Splitter,Tiago,ATL,C,CHI,14.00,5.25,0.00,3.56,0.98,0.56,0.50,0.60,2.20,0.85,0.26,2.20,2.46,0.00,0.00,3500,10,3000,6450,0,43200,0,5300,3800,C,C,C,C,,C,,C,F
3759,Clark,Ian,GSW,SG,@ SAC,15.00,6.69,1.17,1.60,1.32,0.61,0.30,1.06,1.36,0.46,0.05,2.53,3.22,0.00,0.00,3800,10,3700,5000,0,46500,0,4200,3300,SG,SG,SG,PG;SG,,,,G,G
3976,Sampson,JaKarr,PHI,SF,TOR,17.00,6.32,0.25,3.00,0.91,0.25,0.45,1.16,2.06,1.46,0.69,2.31,2.91,0.00,0.00,3500,10,3300,5000,0,38400,0,4700,3400,SF,SF,SF,SG;SF,,,,G,F
3276,Sloan,Donald,BKN,PG,@ DET,19.00,4.51,0.26,2.29,3.26,0.29,0.00,1.27,1.60,0.54,0.18,1.86,2.60,0.00,0.00,3500,10,3100,5000,0,35000,0,3500,3500,PG,PG,PG,PG;SG,,,,G,G
3730,Neto,Raul,UTA,PG,MIA,19.00,5.59,0.76,1.43,2.25,0.88,0.01,1.23,1.54,0.24,0.12,2.30,3.04,0.00,0.00,3600,10,3100,5000,0,35000,0,4500,3500,PG,PG,PG,PG,,,,G,G
3680,Snell,Tony,CHI,SG,@ ATL,20.00,5.68,0.94,2.91,1.02,0.34,0.23,0.94,1.23,0.41,0.09,2.17,3.19,0.00,0.00,3500,10,3600,5150,0,48900,0,4900,3500,SG,SF,SF,SG;SF,,,,G,F
2858,Rush,Brandon,GSW,SG,@ SAC,17.00,5.37,1.32,2.88,0.78,0.38,0.33,0.77,0.58,0.26,0.15,1.90,2.76,0.00,0.00,3700,10,3600,5000,0,45700,0,4800,3600,SG,SF,SG,SG,,,,G,G
3242,Ingles,Joe,UTA,SF,MIA,18.00,5.29,1.24,1.94,1.66,0.67,0.08,0.95,0.66,0.26,0.09,1.90,2.93,0.00,0.00,3500,10,3400,5000,0,35000,0,3500,3300,SF,SG,SG,SG;SF,,,,G,F
2728,Hawes,Spencer,CHA,C,@ LAC,15.00,5.25,0.60,3.22,1.20,0.24,0.18,0.90,1.40,0.65,0.19,2.00,2.69,0.00,0.00,3600,10,3200,5000,0,40300,0,5200,3700,C,PF,C,PF;C,,,,C,F
5057,Winslow,Justise,MIA,SF,@ UTA,23.00,4.38,0.41,3.68,0.83,0.60,0.19,1.10,1.08,1.00,0.51,1.49,2.34,0.00,0.00,3500,10,3600,5650,0,46300,0,5500,3800,SF,SF,SF,SF,,,,F,F
3922,Hairston,PJ,CHA,SF,@ LAC,20.00,5.19,0.96,2.95,0.70,0.44,0.21,0.53,0.77,0.76,0.13,1.73,3.99,0.00,0.00,3600,10,3500,6900,0,42100,0,4600,3500,SF,SF,SF,SG;SF,,,,G,G
3287,Neal,Gary,WAS,SG,@ ORL,16.00,7.31,0.82,1.35,1.09,0.31,0.00,0.81,1.82,1.23,0.16,2.63,3.59,0.00,0.00,3800,10,3900,6250,0,53600,0,6000,3600,SG,SG,SG,PG;SG,,,,G,G
3646,Prigioni,Pablo,LAC,PG,CHA,16.00,3.17,0.62,1.79,2.61,0.97,0.02,0.75,0.44,0.42,0.05,1.07,1.86,0.00,0.00,3500,10,3000,5000,0,35000,0,3400,3000,PG,SG,PG,PG;SG,,,,G,G
3561,Nicholson,Andrew,ORL,PF,WAS,15.00,5.70,0.50,3.41,0.33,0.17,0.25,0.85,1.76,0.67,0.25,2.26,2.63,0.00,0.00,3600,10,3500,5000,0,48700,0,5700,3750,PF,PF,PF,PF,,,,C,F
